config,feature_count,pr_auc,roc_auc,f1,threshold,recall@0.5%,recall@1.0%,recall@2.0%
full,182,0.448328671348105,0.8210146100605081,0.4526979677645411,0.7773606181144714,0.06918238993710692,0.14779874213836477,0.2893081761006289
local_only,93,0.5560613879661858,0.8096172513552898,0.5918367346938777,0.5581412315368652,0.08490566037735849,0.17138364779874213,0.33176100628930816
aggregate_only,72,0.42843720458295204,0.7916185189955234,0.4868778280542987,0.5610358715057373,0.06918238993710692,0.14779874213836477,0.279874213836478
local_plus_structural,110,0.31406882142779835,0.7902283481562572,0.5171288743882545,0.6090452075004578,0.0015723270440251573,0.0110062893081761,0.14465408805031446
