pr_auc,roc_auc,f1,threshold,model,best_val_f1,recall@1.0%
0.6688945760598035,0.8880831979832238,0.6987724268177526,0.7670755386352539,XGBoost,0.9536489151374048,0.17452830188679244
0.6582911858436294,0.8772618225637576,0.6944971537001897,0.4860936447722163,Random Forest,0.9575098813729579,0.17452830188679244
0.36389190068545996,0.8296721724944726,0.4863915715539947,0.8363953828811646,MLP,0.7201125175309077,0.09433962264150944
0.16380645001793742,0.8239236685007502,0.2559489262913523,0.9703135971230147,Logistic Regression,0.5263157894267213,0.0047169811320754715
