scenario,model,pr_auc,roc_auc,f1,threshold,best_val_f1,recall@1.0%,recall@0.5%,recall@2.0%
baseline,XGBoost,0.6700672410285647,0.8899381503662204,0.6938020351526365,0.713222324848175,0.9513991162975882,0.17452830188679244,,
baseline,GraphSAGE_local,0.40956859558130587,0.7966729064855956,0.3820395738203957,0.48956552147865295,,0.1619496855345912,0.08333333333333333,0.2688679245283019
shift_mid,XGBoost,0.7824720821850879,0.9297912689866743,0.7530803351404632,0.4112175703048706,0.9514170039985851,0.15327793167128348,,
shift_mid,GraphSAGE_local,0.5541415532773333,0.8526550495088451,0.5495905368516832,0.4022717773914337,,0.14312096029547552,0.07202216066481995,0.2770083102493075
shift_long,XGBoost,0.6967962472466075,0.8563343946682601,0.5986553639286758,0.5339849591255188,0.7645642753481755,0.12256442489000628,,
shift_long,GraphSAGE_local,0.6006594567598134,0.8429937910376152,0.6026172997127355,0.41319146752357483,,0.11879321181646763,0.059710873664362035,0.23192960402262727
